Trial,Chord,Sus,Amp,IsSim,IsMajor,Valence,Arousal,Time
0,15,2,0,0,0,0,0,37.2824
1,15,2,0,0,1,0,-1,30.9319
2,15,2,3,0,1,-2,-2,4.29875
3,15,2,1,0,1,1,0,3.81618
4,15,2,2,0,1,1,-1,5.43174
5,15,2,3,0,1,0,-2,8.03211
6,15,2,0,0,1,1,0,3.44872
7,15,2,1,0,1,1,-1,3.79912
8,15,2,2,0,1,1,-1,4.2992
9,15,2,3,0,1,1,-2,4.0161
10,15,2,1,0,1,1,-2,52.0815
11,15,2,0,0,1,1,-1,10.966
12,15,2,2,0,1,1,-1,3.61574
13,15,2,0,0,1,2,0,4.88173
14,15,2,3,0,1,-1,-1,3.74933
15,15,2,1,0,1,1,-1,4.18275
16,15,2,3,0,1,0,-2,3.68306
17,15,2,2,0,1,1,-1,2.11641
18,15,2,0,0,1,0,0,9.73271
19,15,2,1,0,1,0,1,6.61655
20,15,2,1,0,1,-1,0,6.29906
21,15,2,3,0,1,-1,-1,3.64889
22,15,2,2,0,1,0,-2,7.38158
23,15,2,0,0,1,1,1,2.79835
24,15,2,1,0,1,1,1,4.88133
25,15,2,0,0,1,1,2,3.96478
26,15,2,3,0,1,1,-2,5.44923
27,15,2,2,0,1,0,-2,4.6986
28,15,2,1,0,1,0,0,3.68066
29,15,2,0,0,1,-2,1,6.04929
30,15,2,3,0,1,-1,0,3.50049
31,15,2,2,0,1,-1,0,2.99856
32,15,2,2,0,1,-2,-1,4.09934
33,15,2,1,0,1,-1,0,3.8473
34,15,2,3,0,1,-1,-2,2.79809
35,15,2,0,0,1,-2,1,3.21525
36,15,2,2,0,1,-2,0,3.38118
37,15,2,3,0,1,-1,-2,2.56509
38,15,2,1,0,1,-2,0,3.31564
39,15,2,0,0,1,-1,1,3.89966
0,15,0,1,0,1,1,0,5.66798
1,15,0,1,0,1,0,0,3.41616
2,15,0,0,0,1,1,0,3.59949
3,15,0,2,0,1,0,-1,3.58287
4,15,0,3,0,1,0,-2,2.46653
5,15,0,1,0,1,1,-1,3.66584
6,15,0,0,0,1,0,0,6.3847
7,15,0,2,0,1,-1,-1,6.0316
8,15,0,0,0,1,0,1,3.04978
9,15,0,3,0,1,0,-2,5.58292
10,15,0,2,0,1,0,-2,5.36643
11,15,0,1,0,1,0,0,5.93153
12,15,0,2,0,1,1,0,5.48219
13,15,0,1,0,1,-1,1,3.3663
